# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'branch-instructions'
# Event count (approx.): 4978103875
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                              
# ........  .......  ..........................  ....................................................................................................................................................................................................................................................................
#
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d8b3
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c700
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027910
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d62f
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c711
     0.03%  test     [kernel.kallsyms]           [k] __rmqueue_pcplist
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000006135
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000002794a
     0.03%  test     [kernel.kallsyms]           [k] _raw_spin_unlock
     0.03%  test     libc.so.6                   [.] __memset_evex_unaligned_erms
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000007de3
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2b3
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000000610b
     0.03%  test     [kernel.kallsyms]           [k] memset_orig
     0.03%  test     [kernel.kallsyms]           [k] send_to_group
     0.03%  test     [kernel.kallsyms]           [k] ext4_bio_write_folio
     0.03%  test     [kernel.kallsyms]           [k] __fsnotify_parent
     0.03%  test     libm.so.6                   [.] __sqrtf
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d7f3
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c252
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c26a
     0.03%  test     libjpeg.so.8.2.2            [.] 0x0000000000027a98
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c6db
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d491
     0.03%  test     [kernel.kallsyms]           [k] access_error
     0.03%  test     [kernel.kallsyms]           [k] free_pcppages_bulk
     0.03%  test     [kernel.kallsyms]           [k] lockref_get_not_zero
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000003d797
     0.03%  test     libjpeg.so.8.2.2            [.] 0x000000000004c240
     0.03%  test     libz.so.1.2.11              [.] 0x0000000000002d3f
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000004c2ff
     0.02%  test     [kernel.kallsyms]           [k] crypto_shash_update
     0.02%  test     libjpeg.so.8.2.2            [.] 0x000000000003d6cf
     0.02%  test     libjpeg.so.8.2.2            [.] 0x00000000000271d3
     0.02%  test     libjpeg.so.8.2.2            [.] 0x0000000000015564
