# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'branch-instructions'
# Event count (approx.): 6330547978
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                             
# ........  .......  ............................  ...................................................................................................................................................................................................................................................................................................................
#
     0.03%  test     [kernel.kallsyms]             [k] mutex_unlock
     0.03%  test     test                          [.] operator new(unsigned long, void*)
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b82
     0.03%  test     [kernel.kallsyms]             [k] consume_stock
     0.02%  test     [kernel.kallsyms]             [k] error_entry
     0.02%  test     [kernel.kallsyms]             [k] x86_pmu_event_init
     0.02%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.02%  test     [kernel.kallsyms]             [k] mpage_process_folio
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027850
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002795b
     0.02%  test     [kernel.kallsyms]             [k] xas_descend
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b6
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d54
     0.02%  test     [kernel.kallsyms]             [k] folio_unlock
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d8b3
     0.02%  test     [kernel.kallsyms]             [k] mod_objcg_state
     0.02%  test     [kernel.kallsyms]             [k] __rmqueue_pcplist
     0.02%  test     test                          [.] std::atan2(float, float)
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bebb
     0.02%  test     [kernel.kallsyms]             [k] free_pcppages_bulk
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c23a
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e3f
     0.02%  test     [kernel.kallsyms]             [k] xas_clear_mark
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d603
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027928
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027237
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a46
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027410
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c812
     0.02%  test     [kernel.kallsyms]             [k] intel_cpuc_finish
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027960
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027922
