# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'branch-instructions'
# Event count (approx.): 4354894864
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                              
# ........  .......  ............................  ....................................................................................................................................................................................................................................................................
#
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c709
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027142
     0.03%  test     [kernel.kallsyms]             [k] balance_dirty_pages_ratelimited_flags
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000276de
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000007d54
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7f3
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000155b0
     0.03%  test     [kernel.kallsyms]             [k] kmem_cache_alloc
     0.03%  test     [kernel.kallsyms]             [k] ext4_da_map_blocks.constprop.0
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d797
     0.03%  test     libm.so.6                     [.] __sqrtf
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d66d
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004be6f
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6cf
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027860
     0.03%  test     [kernel.kallsyms]             [k] _raw_read_lock
     0.03%  test     [kernel.kallsyms]             [k] free_pcppages_bulk
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000027237
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d637
     0.03%  test     [kernel.kallsyms]             [k] page_counter_cancel
     0.03%  test     [kernel.kallsyms]             [k] xas_set_mark
     0.03%  test     [kernel.kallsyms]             [k] xas_descend
     0.03%  test     [kernel.kallsyms]             [k] __mark_inode_dirty
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000003d52d
     0.03%  test     [kernel.kallsyms]             [k] asm_exc_page_fault
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ca
     0.03%  test     [kernel.kallsyms]             [k] perf_adjust_freq_unthr_context
     0.03%  test     libjpeg.so.8.2.2              [.] 0x000000000002794a
     0.03%  test     [kernel.kallsyms]             [k] kmem_cache_free
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028bd6
     0.03%  test     [kernel.kallsyms]             [k] free_swap_cache
     0.03%  test     libjpeg.so.8.2.2              [.] 0x00000000000271ee
     0.03%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b8c
     0.03%  test     [kernel.kallsyms]             [k] xas_store
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027410
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c449
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027167
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027988
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027928
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027a98
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c7f8
     0.02%  test     [kernel.kallsyms]             [k] memcg_slab_post_alloc_hook
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027960
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004be9b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002708e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027708
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271f1
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c303
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bebf
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027958
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6ba
     0.02%  test     [kernel.kallsyms]             [k] policy_nodemask
     0.02%  test     [kernel.kallsyms]             [k] mpage_prepare_extent_to_map
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000278df
     0.02%  test     test                          [.] operator new(unsigned long, void*)
     0.02%  test     [kernel.kallsyms]             [k] down_read
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027aa3
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d65b
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004bef7
     0.02%  test     [kernel.kallsyms]             [k] node_dirty_ok
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d609
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d633
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000002791d
     0.02%  test     [kernel.kallsyms]             [k] aa_file_perm
     0.02%  test     [kernel.kallsyms]             [k] _raw_write_lock
     0.02%  test     [kernel.kallsyms]             [k] ext4_block_write_begin
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6c2
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000059e8
     0.02%  test     [kernel.kallsyms]             [k] __kmem_cache_alloc_node
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d799
     0.02%  test     [kernel.kallsyms]             [k] folio_add_lru_vma
     0.02%  test     [kernel.kallsyms]             [k] __ext4_journal_get_write_access
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d641
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d645
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c700
     0.02%  test     [kernel.kallsyms]             [k] fsnotify
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e4c
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000007de3
     0.02%  test     libjpeg.so.8.2.2              [.] jpeg_write_scanlines
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000048e47
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000027157
     0.02%  test     test                          [.] std::deque<int, std::allocator<int> >::begin()
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c2b7
     0.02%  test     libz.so.1.2.11                [.] 0x0000000000002d3f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000028b7e
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c337
     0.02%  test     libm.so.6                     [.] __atan2f
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000003d527
     0.02%  test     libjpeg.so.8.2.2              [.] 0x0000000000020ea4
     0.02%  test     libjpeg.so.8.2.2              [.] 0x00000000000271bb
     0.02%  test     [kernel.kallsyms]             [k] jbd2_journal_grab_journal_head
     0.02%  test     libjpeg.so.8.2.2              [.] 0x000000000004c43d
     0.02%  test     [kernel.kallsyms]             [k] find_lock_entries
